letter,ID,amplitude,amplitude_se,time,num_events,frequency,cell,sex,X,Y,age,animal,synapses,treatment,category,R_a,notes,days_alone,animal_or_slicing_problems
RMA1,Concatenatte-RMA1,27.56,2.17,2.58,37,7.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.65,1.65,2.67,38,7.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.44,1.73,2.75,38,7.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.65,1.51,2.83,41,8.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.89,2.28,2.92,32,6.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.97,1.68,3,43,8.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.51,1.6,3.08,41,8.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.34,1.74,3.17,42,8.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,25.09,1.32,3.25,39,7.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.08,1.77,3.33,46,9.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.36,1.54,3.42,42,8.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.23,1.49,3.5,40,8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.46,1.83,3.58,43,8.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.84,2.45,3.67,33,6.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,24.92,1.59,3.75,45,9,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.48,1.89,3.83,38,7.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.18,2.19,3.92,40,8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,25.72,2.01,4,36,7.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,25.6,1.96,4.08,40,8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,32.88,2.08,4.17,41,8.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.1,1.66,4.25,37,7.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.16,2.09,4.33,45,9,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,31.43,2.22,4.42,45,9,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.8,2.5,4.5,43,8.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.36,1.59,4.58,45,9,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,31.26,2.46,4.67,33,6.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.72,1.91,4.75,38,7.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.45,2.2,4.83,38,7.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,33.68,2.1,4.92,40,8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,33.39,1.76,5,51,10.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,33.01,1.87,5.08,50,10,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.67,1.26,5.17,51,10.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.91,1.34,5.25,59,11.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,31.41,1.91,5.33,56,11.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.45,1.26,5.42,53,10.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.74,1.12,5.5,51,10.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,31.32,1.65,5.58,57,11.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.3,1.25,5.67,52,10.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,31.26,1.7,5.75,49,9.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.7,1.93,5.83,54,10.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,32.45,1.75,5.92,47,9.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.65,1.59,6,46,9.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.05,1.6,6.08,55,11,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.46,1.55,6.17,54,10.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,32.63,2,6.25,45,9,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,32.3,1.89,6.33,49,9.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,31.98,1.47,6.42,54,10.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,33.73,2.3,6.5,48,9.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.26,1.39,6.58,54,10.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.7,1.69,6.67,44,8.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.44,1.62,6.75,53,10.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.97,1.3,6.83,52,10.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.51,1.43,6.92,50,10,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.95,1.83,7,49,9.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,31.62,2.16,7.08,45,9,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,31.64,2.28,7.17,44,8.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,31.23,1.49,7.25,50,10,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.27,1.53,7.33,49,9.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.75,1.5,7.42,47,9.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,32.46,1.88,7.5,43,8.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.75,1.95,7.58,48,9.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.8,1.95,7.67,50,10,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
